"Option Name","score","Size","10","Rent","10","Duration","10","Pet Policy","9","Laundry","8","Description","7","Monthly Fees","5","One Time Fees","5","Contact","0","Distance","0","Address","0","modifier"
"[340 E 55th St](https://www.apartments.com/340-e-55th-st-new-york-ny/zx40vlx/)","100","610 Sq Ft","5","$2,750","5","10 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Gorgeous newly renovated one bedroom located in the 50's of Midtown East. Apartment features queen size bedroom, kitchen with white appliances, white cabinetry, living room, tile bath, hardwood floors and ample closet space.
Amenities:
- Elevator
- Laundry
- On-site super
Incentive:
- One month Free
- No Fee
Rent is net effective
Email to schedule a viewing today!","5","","5","","5","","5","0.5 mi","5","[340 E 55th St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/340+E+55th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)","5","0"
"[309 W 54th St Unit 3A](https://www.apartments.com/309-w-54th-st-new-york-ny-unit-3a/hjprx61/)","100","650 Sq Ft","5","$2,200","5","23 mins","5","Dogs and Cats Allowed","5","","5","Beautiful one bedroom apartment located in Prime Midtown West.
Real good deal wont last long!!
Hurry up and call today.
This apartment is newly Renovated and features QUEEN-SIZED Bedroom, Spacious Living Area, Full SS kitchen with, high ceilings, hardwood floors.
The bedroom have decorative fireplace and a good Closet space.
Prime Location just steps to Columbus Circle, Whole Foods, Subway Hub for 1,A,B,C, D or E lines on W 53/7th...and just a stone throw away to great bars and restaurants on 9th ave.
This walk up building has a super onsite, is pet friendly and has cleaners & wash n fold right downstairs.
Call or email me today to schedule a viewing
Elias.","5","","5","","5","844-758-4841","5","1.1 mi","5","[309 W 54th St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/309+W+54th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[204 E 66th St](https://www.apartments.com/204-e-66th-st-new-york-ny/frg8dbs/)","100","600 Sq Ft","5","$2,795","5","9 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Bright Spacious 1 bed newly renovated on the upper East Side.
Top Quality Polished hardwood floors, large closet space, all new
appliances and wood cabinets, 
Building has on site Super, Laundry, Gym, Concierge, 
Easy Access to all: the Lex Ave Subway, (66th St), 4,5,6, 
And all shopping and restaurants.
Pets Allowed!
NO FEE!!
Contact: George 917.284.5920
ATMACK REALTY LLC (LIC. REAL ESTATE AGENT","5","","5","","5","844-860-6148","5","0.4 mi","5","[204 E 66th St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/204+E+66th+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[316 E 63rd St Unit 3E](https://www.apartments.com/316-e-63rd-st-new-york-ny-unit-3e/p6s84vs/)","100","600 Sq Ft","5","$2,800","5","9 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Beautiful 1 Bedroom on the Upper East Side. Features include high ceilings, hardwood floors, modern appliances, dishwasher, microwave, tile bathroom, and plenty of closet space. Near many subway and bus stops. And located close to some of the best restaurants, bars, cafes, music venues, coffee shops, art galleries, boutiques and thrift shops in NYC.","5","","5","","5","","5","0.5 mi","5","[316 E 63rd St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/316+E+63rd+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[241 E 58th St](https://www.apartments.com/241-e-58th-st-new-york-ny/0fyrtv2/)","100","700 Sq Ft","5","$2,800","5","5 mins","5","Dogs and Cats Allowed","5","","5","~Big, bright & renovated 1BR w/terrace~ in the Midtown East, SS kitchen, marble bath, beautiful floors throughout, lots of light, walk-in closets. Elevator. 
*Near park, easy access to public transportation. 
*Call or text me today to schedule a private viewing: Olga 631-605-1477 okrey@bondnewyork.com
If this apartment doesn’t fit your need I certainly have the one that will.","5","","5","","5","","5","0.2 mi","5","[241 E 58th St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/241+E+58th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)","5","0"
"[140 E 46th St Unit 9P](https://www.apartments.com/140-e-46th-st-new-york-ny-unit-9p/850ng03/)","100","823 Sq Ft","5","$2,800","5","14 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","XL 1 Bed STUDIO! NO FEE - GRAND CENTRAL LOCATION!
Great Centrally Located Large 1 Bed Renovated Kitchen with Granite Countertops Pre-War Emil Roth Building Hardwood Floors Live-in superintendent Full-time doorman Laundry Room Close to Grand Central and Subway","5","","5","","5","844-410-8449","5","0.7 mi","5","[140 E 46th St, New York, NY 10017](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/140+E+46th+St,+New+York,+NY+10017/data=!4m2!4m1!3e2)","5","0"
"[230 E 33rd St](https://www.apartments.com/230-e-33rd-st-new-york-ny/ee9xqqm/)","100","700 Sq Ft","5","$2,800","5","29 mins","5","Dogs and Cats Allowed","5","* Washer/Dryer","5","Fully renovated one bedroom, stainless steel appliances, dishwasher, laundry in unit, pets allowed.
Apartment is close to the trains at 33rd and 28th. 
Come check it out today!","5","","5","","5","","5","1.5 mi","5","[230 E 33rd St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/230+E+33rd+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)","5","0"
"[404 E 63rd St Unit 2](https://www.apartments.com/404-e-63rd-st-new-york-ny-unit-2/fjfdkss/)","100","600 Sq Ft","5","$2,831","5","12 mins","5","Dogs and Cats Allowed","5","","5","Amazing one bedroom with private garden. Beautiful kitchen with custom cabinetry, caesarstone counter-tops, stainless steel appliances including dishwasher and microwave. High ceilings and hardwood floors. Best of all a private garden . With one month free rent (new tenants only) for a lease commencing on or before May 1st. * Contact Yazmin (347)863-9424","5","","5","","5","973-821-7579","5","0.6 mi","5","[404 E 63rd St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/404+E+63rd+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[119 W 69th St Unit 4A](https://www.apartments.com/119-w-69th-st-new-york-ny-unit-4a/wrfs3fl/)","100","750 Sq Ft","5","$2,850","5","29 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","","5","","5","","5","","5","1.4 mi","5","[119 W 69th St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/119+W+69th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)","5","0"
"[140 E 47th St](https://www.apartments.com/140-e-47th-st-new-york-ny/5dzjchm/)","100","621 Sq Ft","5","$2,850","5","13 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Curb appeal!
Spacious one bedroom apartment in full time doorman building!
This grand apartment will captivate you at first sight!
Island counter top kitchen, ample closet space, and great amount of sunlight!
Pet friendly building and laundry in basement!","5","","5","","5","","5","0.6 mi","5","[140 E 47th St, New York, NY 10017](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/140+E+47th+St,+New+York,+NY+10017/data=!4m2!4m1!3e2)","5","0"
"[124-164 E 47th St](https://www.apartments.com/124-164-e-47th-st-new-york-ny/2jfwfq9/)","100","780 Sq Ft","5","$2,850","5","13 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Two words: Curb Appeal!
This magnificent one bedroom apartment can be found in the most gorgeous residential building of midtown!
Full time doorman building features elevator and laundry!
Renovated Marble lobby, and full renovated apartment!
Immense amounts of space as well as storage. Large walk in closet, dark hardwood floors, and island counter top!","5","","5","","5","","5","0.6 mi","5","[124-164 E 47th St, New York, NY 10017](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/124-164+E+47th+St,+New+York,+NY+10017/data=!4m2!4m1!3e2)","5","0"
"[117 W 58th St Unit 4I](https://www.apartments.com/117-w-58th-st-new-york-ny-unit-4i/36x1lbd/)","100","700 Sq Ft","5","$2,895","5","12 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Fabulous deal! Newly renovated, very quiet, 1 bedroom with tons of light. 
Dining alcove can be converted into 2nd bedroom that fits a queen bed. 
Modern white kitchen has dishwasher. 
It also comes with pristine wooden floors, and ample closet space. 
This full-time doorman building offers renovated lobby, elevator, and laundry. 
Steps away from the subway, two blocks from Columbus Circle, whole foods, shopping, and Rockefeller center.","5","","5","","5","646-891-1802","5","0.6 mi","5","[117 W 58th St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/117+W+58th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[72 W 69th St Unit 5C](https://www.apartments.com/72-w-69th-st-new-york-ny-unit-5c/94zpg76/)","100","750 Sq Ft","5","$2,895","5","27 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","","5","","5","","5","","5","1.3 mi","5","[72 W 69th St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/72+W+69th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)","5","0"
"[402 W 51st St Unit 2D](https://www.apartments.com/402-w-51st-st-new-york-ny-unit-2d/eg2g88m/)","100","709 Sq Ft","5","$2,895","5","30 mins","5","Dogs and Cats Allowed","5","","5","This HUGE 1 Bedroom should not be missed! (Over 700 sq ft.)
King Sized Bedroom and HUGE Living Room!
In the process of being renovated (as seen in the photos)
Available for a May 1st move-in.","5","","5","","5","","5","1.4 mi","5","[402 W 51st St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/402+W+51st+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[135 E 50th St Unit a](https://www.apartments.com/135-e-50th-st-new-york-ny-unit-a/tp6gfd8/)","100","1,000,000 Sq Ft","5","$2,895","5","10 mins","5","Dogs and Cats Allowed","5","* Washer/Dryer Hookup","5","AMAZING LOCATION, NEW ON THE MARKET!!!
1 Bedroom apartment in Midtown East with 1 month free on 12 month lease. Extremely Large 1 bedroom with abundant closet space and an open kitchen
The apartment features a beautiful eat-in styled open kitchen with a dishwasher. The home also has hardwood floors throughout, high beamed ceilings, large living and bedroom, beautiful moldings & abundant closet space.
Completely renovated lobby, attended lobby, laundry room, elevator, live-in super & pet-friendly. Conveniently located steps to the M,E & 6 Subways. Doorman hours are approximately 7am-11:00pm, 365 days a year.","5","","5","","5","","5","0.5 mi","5","[135 E 50th St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/135+E+50th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)","5","0"
"[245 W 52nd St Unit 212](https://www.apartments.com/245-w-52nd-st-new-york-ny-unit-212/qzsrxtz/)","100","700 Sq Ft","5","$2,895","5","23 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Large 1 BR in Midtown West -- Doorman Building
1 bed, 1 bath, with ample closet space, hardwood floors, built in book shelves, marble bath, and granite ss kitchen. Located in a well kept building, set in the middle of the lively, exciting, and vibrant culture of Times Square. Rent includes electric and gas. The building includes doorman concierge Monday-Saturday, live-in super, elevator, and laundry in basement.","5","","5","","5","914-265-4061","5","1.1 mi","5","[245 W 52nd St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/245+W+52nd+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[240 E 35th St Unit 3K](https://www.apartments.com/240-e-35th-st-new-york-ny-unit-3k/nqsftrp/)","100","700 Sq Ft","5","$2,900","5","27 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Beautiful newly renovated one bedroom is located in a great full-time doorman building. 
The entire apartment has been completely renovated and has a brand new stainless kitchen with new cabinets, and granite counters. 
The bathroom has been fully redone as well and is absolutely clean and spotless. 
The living room can fit a large living room set and room for a dinning area, very big layout and has two closets. 
The bedroom can easily fit a king-sized bedroom set including end tables and dressers. 
There are two windows in the bedroom and a large closet. 
With friendly staff and a rooftop terrace, this space is definitely a unique find. 
PLEASE CALL Joseph @ 9 1 7 - 8 0 5 - 5 8 8 5 / joseph@opgny.com","5","","5","","5","347-448-4004","5","1.4 mi","5","[240 E 35th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/240+E+35th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)","5","0"
"[332 E 71st St Unit 3C](https://www.apartments.com/332-e-71st-st-new-york-ny-unit-3c/pz0bqdr/)","100","800 Sq Ft","5","$2,900","5","18 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","NO FEE - 1 bedroom 1 bathroom in prime Upper East Side location.","5","","5","","5","","5","0.9 mi","5","[332 E 71st St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/332+E+71st+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)","5","0"
"[340 E 61st St](https://www.apartments.com/340-e-61st-st-new-york-ny/syvptd7/)","100","600 Sq Ft","5","$2,900","5","9 mins","5","Dogs and Cats Allowed","5","* Washer/Dryer","5","Beautiful Gut Renovated 1 Bedroom with in unit W/D!! 
Apartment has been fully renovated featuring; Granite Countertop, Stainless steel appliances, and Marble bathroom. AVAILABLE IMMEDIATELY!","5","","5","","5","","5","0.4 mi","5","[340 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/340+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[220 E 36th St](https://www.apartments.com/220-e-36th-st-new-york-ny/9gbm6c5/)","100","650 Sq Ft","5","$2,900","5","26 mins","5","Dogs and Cats Allowed","5","* Washer/Dryer","5","No fee**Generous layout, spacious living room, ample closet space.. Amenities include a 24-hour doorman, a rooftop deck with stunning views of Manhattan, a courtyard, an on-site laundry facility and a bike storage room. Pets are welcomed. A perfect central location, The Murray Hill is a well-maintained co-op building that is surrounded by a variety of shops, restaurants and nightlife, and is in close proximity to the 6 train and Grand Central Station.
Please contact me to view it 646 409 6447.","5","","5","","5","914-361-4218","5","1.3 mi","5","[220 E 36th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/220+E+36th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)","5","0"
"[340 E 61st St Unit 5A](https://www.apartments.com/340-e-61st-st-new-york-ny-unit-5a/1j29cy6/)","100","720 Sq Ft","5","$2,900","5","9 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","This is a Gut Renovated NO FEE 1 Bedroom with Laundry in Building!
THE SECOND MONTH OF RENT IS FREE!!!
Advertised rent is the Gross Rent. Net Rent would be $2,658!!
This apartment Features:
A Queen Sized Bedroom, a Large Living Room, Walnut hardwood floors, recessed lighting, granite countertops, stainless steel appliances, cherry wood cabinets, crown and baseboard moldings, and a marble bathroom.
Walk up building
This is priced to go, so contact me TODAY to see it!","5","","5","","5","","5","0.4 mi","5","[340 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/340+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[137 E 38th St Unit 1B](https://www.apartments.com/137-e-38th-st-new-york-ny-unit-1b/ftme6xt/)","100","600 Sq Ft","5","$2,900","5","22 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Amenities:
Bicycle Room, Common Outdoor Space, Doorman, Elevator, Laundry, Roof Deck, Subway, Valet, WiFi, Concierge, Dishwasher, Hardwood, High Ceilings, Renovated, Light, Walk-In Closet
Description:
Astonishing Murray Hill 1BR, Extra-Large Living, Amazing Location!
Astonishing Murray Hill 1BR, Extra-Large Living Room, Amazing Location!","5","","5","","5","844-332-8992","5","1.1 mi","5","[137 E 38th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/137+E+38th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)","5","0"
"[140 E 46th St Unit 10P](https://www.apartments.com/140-e-46th-st-new-york-ny-unit-10p/z0h8elz/)","100","600 Sq Ft","5","$2,950","5","14 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","This is a full service doorman , laundry and elevator building . Comfortable and very spacious 1 bedroom apartment with lots of closet and storage space.An open kitchen with white cabinets and black tops as well as storage space .Oversize windows that bring lots of lights into the rooms. Steps away from the Greatest Transportation Hub within all of Manhattan, Grand Central Station.1 month no broker fee, contact Yazmin (347)863-9424","5","","5","","5","201-372-4971","5","0.7 mi","5","[140 E 46th St, New York, NY 10017](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/140+E+46th+St,+New+York,+NY+10017/data=!4m2!4m1!3e2)","5","0"
"[888 8th Ave Unit 15B](https://www.apartments.com/888-8th-ave-new-york-ny-unit-15b/phn0f4t/)","100","700 Sq Ft","5","$2,995","5","24 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Outstanding Value! Newly Renovated Spacious 1 Bedroom Apartment With This Delightful Finishes, Located In The Theater District. 
It Features Beautiful Floors, Extra Large Fully Equipped Kitchen, Sparkling Marble Full Bath, Incredible Closet Space. 
This Charmer Residential Rental Building Features Full Time Doorman, Elevator, Garage Available, Laundry Room, Rooftop Terrace, and Live-In Super. 
Convenient to Midtown Offices, Mass Transit, Columbus Circle, and Central Park. 
PLEASE CALL Joseph @ 9 1 7 - 8 0 5 - 5 8 8 5 / joseph@opgny.com","5","","5","","5","347-384-9507","5","1.2 mi","5","[888 8th Ave, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/888+8th+Ave,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[252 E 63rd St Unit 14H](https://www.apartments.com/252-e-63rd-st-new-york-ny-unit-14h/q8tq7tz/)","100","725 Sq Ft","5","$2,995","5","8 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","APARTMENT AMENITIES
Central Air Conditioning
Dishwasher
Microwave
BUILDING AMENITIES
Elevator
Doorman
Package Room
Laundry Room
Gas Included
Parking Available
Live in Super
Heat Included
Intercom
Hot Water Included","5","","5","","5","","5","0.4 mi","5","[252 E 63rd St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/252+E+63rd+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[350 W 55th St Unit 6G](https://www.apartments.com/350-w-55th-st-new-york-ny-unit-6g/5yfxdcp/)","100","600 Sq Ft","5","$2,995","5","24 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Amenities:
Doorman, Elevator, Laundry, Subway, Dishwasher, Hardwood, High Ceilings, Renovated, Marble Bath, Granite Kitchen, Light, NO FEE, Walk-In Closet
Description:
Sensational Gut Renovated 1 BR Abode
Apartment Features Classic Oak Wood Strip Floors, Sun Drenched Windows, Staggering Ceilings with Custom Track Lighting, Abundant Closet Space, Amazing Separate Kitchen with Brand New Oak Wood Cabinetry, Black Brick Backsplash, Stainless Steel Appliances, Microwave, Dishwasher, and Granite Counter-tops. Apartment also Features a Massive Super King Size Bedroom with Bay Window, and Marble Bath with Pedestal Sink. Close to Shopping, Dining, Bars, and Subway. Available For Immediate Occupancy. Call Today For Private Viewing.","5","","5","","5","347-748-9632","5","1.2 mi","5","[350 W 55th St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/350+W+55th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[316 E 63rd St Unit B](https://www.apartments.com/316-e-63rd-st-new-york-ny-unit-b/vl2k3ce/)","100","600 Sq Ft","5","$2,995","5","9 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Large one bedroom apartment in Lenox Hill. Beautiful kitchen with dishwasher ,microwave. Large windowed bathroom. Short walk to 4,5,6,N,R,Q & F trains, Bloomingdales, Whole Foods, Home Depot , Central park. Heat/Hot Water Included. Contact Yazmin (347)863-9424","5","","5","","5","347-305-1540","5","0.5 mi","5","[316 E 63rd St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/316+E+63rd+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[55 W 56th St Unit 8D](https://www.apartments.com/55-w-56th-st-new-york-ny-unit-8d/cexdn8f/)","100","800 Sq Ft","5","$2,999","5","13 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","ENORMOUS BRIGHT 1 BED HUGE WINDOWS ELEVATOR LAUNDRY CENTRAL PARK
NO FEE! Such a great deal! Huge 1BR features hardwood floors, large separate kitchen with dishwasher, immense closet space and super high ceilings. Sun soaked thru unobstructed, oversized windows. Charming original details throughout. Pets welcome. 
Please call/text Jonathan (347)579-4368 for immediate showings.","5","","5","","5","844-274-8660","5","0.6 mi","5","[55 W 56th St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/55+W+56th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[55 W 55th St Unit 8B](https://www.apartments.com/55-w-55th-st-new-york-ny-unit-8b/j6sz107/)","100","720 Sq Ft","5","$2,999","5","13 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","ENORMOUS BRIGHT 1 BED HUGE WINDOWS ELEVATOR LAUNDRY CENTRAL PARK
NO FEE! Such a great deal! Huge 1BR features hardwood floors, large separate kitchen with dishwasher, immense closet space and super high ceilings. Sun soaked thru unobstructed, oversized windows. Charming original details throughout. Pets welcome. Please call/text Jonathan (347)579-4368 for immediate showings.","5","","5","","5","844-785-6419","5","0.6 mi","5","[55 W 55th St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/55+W+55th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[330 W 56th St Unit 10P](https://www.apartments.com/330-w-56th-st-new-york-ny-unit-10p/206vqw8/)","100","700 Sq Ft","5","$3,000","5","22 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Great one bedroom in luxury full service doorman/concierge building. 
Large 18'X'14' living room, full marble bath, ample closets in both Living room and bedroom, pristine hardwood floors. 
Separate chefs kitchen comes with white GE appliances range, and dishwasher. 
Gym, roof deck, and card operated laundry in the building.","5","","5","","5","855-891-4250","5","1.1 mi","5","[330 W 56th St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/330+W+56th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[321 W 54th St Unit 314](https://www.apartments.com/321-w-54th-st-new-york-ny-unit-314/j3wrv47/)","100","700 Sq Ft","5","$3,000","5","24 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","If you are looking for a deal in a doorman building, look no further. 
This fantastic move in ready 1 bedroom apartment features tons of closets, entry foyer, high ceilings, lots of sun exposure.
The building has elevator, rooftop deck, and laundry room. 
Close to dining and shops. 
PLEASE CALL Joseph @ 9 1 7 - 8 0 5 - 5 8 8 5 / joseph@opgny.com","5","","5","","5","929-274-4961","5","1.2 mi","5","[321 W 54th St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/321+W+54th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[425 E 63rd St Unit E-1F](https://www.apartments.com/425-e-63rd-st-new-york-ny-unit-e-1f/eyf0bbq/)","100","600 Sq Ft","5","$3,000","5","13 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","This distinctive 1 bedroom condo unit features a bright and spacious living room accented with rich hardwood parquet flooring. Spacious full-size tile bathroom and an all-white fully equipped kitchen with dishwasher and microwave. This building has many amenities including a full-time doorman and concierge, fitness center, elevator, laundry room, bike room, garage, and large building terrace with newly installed Birch Tree Garden Grove. Conveniently located near numerous metro transportation lines, as well as, some of the city’s finest dining and shopping destinations.","5","","5","","5","347-352-8055","5","0.6 mi","5","[425 E 63rd St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/425+E+63rd+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[321 E 48th St Unit 11D](https://www.apartments.com/321-e-48th-st-new-york-ny-unit-11d/21k9238/)","100","700 Sq Ft","5","$3,000","5","17 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Stunningly Refinished,Substantial, 1 Bedroom In A Full-Service 24/7 Doorman Building. 
This Place Features A Galley Kitchen Through French Doors, And A Sparkling Bathroom. 
This Building Offers Laundry Room,Elevator, Fast Board Approval. 
Within 10 Minutes Walk To Grand Central Station, UN Plaza, Nice Wine Bars, And Bistros. 
PLEASE CALL Joseph @ 9 1 7 - 8 0 5 - 5 8 8 5 / joseph@opgny.com","5","","5","","5","844-813-0119","5","0.8 mi","5","[321 E 48th St, New York, NY 10017](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/321+E+48th+St,+New+York,+NY+10017/data=!4m2!4m1!3e2)","5","0"
"[342 E 55th St](https://www.apartments.com/342-e-55th-st-new-york-ny/jxpys26/)","100","600 Sq Ft","5","$3,000","5","11 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Beautiful Large 1 Bed in Elevator building with Laundry Room in the building. 
Spacious newly renovated 1 bedroom featuring Hardwood floors and Sunny Exposures.
Available Immediately!","5","","5","","5","","5","0.5 mi","5","[342 E 55th St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/342+E+55th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)","5","0"
"[342 E 55th St Unit 4B](https://www.apartments.com/342-e-55th-st-new-york-ny-unit-4b/cv1qjbe/)","100","600 Sq Ft","5","$3,000","5","11 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","This is a Large 1 Bedroom in an Elevator Building with a Laundry Room in the building.
This is a newly renovated apartment featuring Hardwood floors and Sunny Exposures.
This is a NO FEE APARTMENT, in a very very vibrant location.
Elevator Building,
Pets allowed. We Are Now Offering a 1 Month Free on a 12 Month Lease. Please contact Senad at: 646-331-6174, if you are interested in renting this stunning and very practical apartment.","5","","5","","5","646-868-3026","5","0.5 mi","5","[342 E 55th St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/342+E+55th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)","5","0"
"[140 E 46th St Unit 9E](https://www.apartments.com/140-e-46th-st-new-york-ny-unit-9e/z4089lw/)","100","600 Sq Ft","5","$3,000","5","14 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","This is a full service doorman , laundry and elevator building . Comfortable and very spacious 1 bedroom apartment with lots of closet and storage space.( 3 walk in closets W/ light ) An open kitchen with white cabinets and black tops as well as storage space.Best of all its steps away from the Greatest Transportation Hub within all of Manhattan, Grand Central Station.
This gorgeous and spacious apartment is new to the market and should not last long! 1 month free , 1 month no broker fee, contact Yazmin (347)863-9424","5","","5","","5","862-290-3899","5","0.7 mi","5","[140 E 46th St, New York, NY 10017](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/140+E+46th+St,+New+York,+NY+10017/data=!4m2!4m1!3e2)","5","0"
