Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[876 Lexington Ave Unit 1B](https://www.apartments.com/876-lexington-ave-new-york-ny/er71e9p/),,"[876 Lexington Ave, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/876+Lexington+Ave,+New+York,+NY+10065/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,495",,,Dogs and Cats Allowed,0.3 mi,7 mins,,,,,,,12 Months,,,,,![Primary Photo - 876 Lexington Ave](https://images1.apartments.com/i2/A3ZvRRbnk21Ke8J2N80B_gFT0BRJpPKAKJHiTq3TjDE/110/876-lexington-ave-new-york-ny-primary-photo.jpg) ![Building Photo - 876 Lexington Ave](https://images1.apartments.com/i2/sH3djUQe-Td0xrwBnEx7avlzmUaHT29SbqJPPj1-LSk/118/876-lexington-ave-new-york-ny-building-photo.jpg) ![Building Photo - 876 Lexington Ave](https://images1.apartments.com/i2/ZxbEalxIxwrBCoIFgAvmcBE1mr3kPt-M49BMVuguvIY/118/876-lexington-ave-new-york-ny-building-photo.jpg) ![Building Photo - 876 Lexington Ave](https://images1.apartments.com/i2/Fai2qycKWcpLxQW3dGGRObrr4OkeJWI330dSuZeUOXc/118/876-lexington-ave-new-york-ny-building-photo.jpg) ,"Beautiful Gut renovated one bedroom apartment in the UES! 
Featuring Gourmet kitchen equipped with dishwasher and microwave. Bright, quiet, hardwood floors and high ceilings. Great location conveniently located near Central Park, Hunter College and the 6 train. AVAILABLE IMMEDIATELY!!"
[240 E 35th St Unit 9J](https://www.apartments.com/240-e-35th-st-new-york-ny/848s293/),347-554-5502,"[240 E 35th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/240+E+35th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",700 Sq Ft,"$2,500",,,Dogs and Cats Allowed,1.4 mi,27 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 240 E 35th St](https://images1.apartments.com/i2/qhHCsb4Vd2iGqdf7YBxTMUsgdczOAyrXrEc-IiaaouU/110/240-e-35th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 240 E 35th St](https://images1.apartments.com/i2/VE9R4CpCQ_Y2SAnm2eTRlzcH45sL2VJtfn_90NLJpQQ/118/240-e-35th-st-new-york-ny-building-photo.jpg) ![Building Photo - 240 E 35th St](https://images1.apartments.com/i2/Q8ZDukekO23HxqTYn7E9nyigWP3dLt3orpPPYHIXOnc/118/240-e-35th-st-new-york-ny-building-photo.jpg) ,"Recently renovated,sunny,massive alcove studio in luxury doorman building. 
New kitchen includes stainless steel appliances,dishwasher. 
It features all new bathroom,ceilings with recessed lighting,separate dressing room,full wall of closet space. 
Laundry,roof deck and parking available in the building. 
PLEASE CALL Joseph @ 9 1 7 - 8 0 5 - 5 8 8 5 / joseph@opgny.com"
[326 E 61st St Unit 5-RE](https://www.apartments.com/326-e-61st-st-new-york-ny/gjtvbxw/),,"[326 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/326+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,500",,,Dogs and Cats Allowed,0.4 mi,8 mins,,,,,* Washer/Dryer,,12 Months,,,,,![Primary Photo - 326 E 61st St](https://images1.apartments.com/i2/_yOMTkri2e4kpB-T-9TaN8F0GS8fTqDpkurwct8TCMU/110/326-e-61st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 326 E 61st St](https://images1.apartments.com/i2/HsSJ4p1jnDraugphV4gog08mrHmHGzE47BzJ06agRGs/118/326-e-61st-st-new-york-ny-building-photo.jpg) ![Building Photo - 326 E 61st St](https://images1.apartments.com/i2/ElCjIX-mD6XmLqHZivYzW_mbyjE7_spx5ZCS5YPwVM0/118/326-e-61st-st-new-york-ny-building-photo.jpg) ![Building Photo - 326 E 61st St](https://images1.apartments.com/i2/PclJM47z7Xis-Tv_gy7BnImbC47UKC2yYQ05oNjZbqU/118/326-e-61st-st-new-york-ny-building-photo.jpg) ![Building Photo - 326 E 61st St](https://images1.apartments.com/i2/3sSvs9kfFt_GO1LEqdNSHmeSoyv1GkimYezPNBtTVfs/118/326-e-61st-st-new-york-ny-building-photo.jpg) ,
[231 E 53rd St](https://www.apartments.com/231-e-53rd-st-new-york-ny/xh87klq/),866-984-9603,"[231 E 53rd St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/231+E+53rd+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)",700 Sq Ft,"$2,500",,,Dogs and Cats Allowed,0.5 mi,9 mins,,,,,,,12 Months,,,,,![Primary Photo - 231 E 53rd St](https://images1.apartments.com/i2/thito5wN11pSXRPKh_dTXDejI1W6dwXu56PdynfuZg4/110/231-e-53rd-st-new-york-ny-primary-photo.jpg) ![Building Photo - 231 E 53rd St](https://images1.apartments.com/i2/fn95Yn7Xdd5F8mk7J01NzMuG4gvwhk4B42p015CQIYI/118/231-e-53rd-st-new-york-ny-building-photo.jpg) ![Building Photo - 231 E 53rd St](https://images1.apartments.com/i2/BMDh1huOe-sthK9qOnwFqFbul9w_9pvW7xwfXT-XQqs/118/231-e-53rd-st-new-york-ny-building-photo.jpg) ![Building Photo - 231 E 53rd St](https://images1.apartments.com/i2/BQkVqB_eZ12RtEGhCUFj7BYfS6pfSL7CDNTQKuNxK2s/118/231-e-53rd-st-new-york-ny-building-photo.jpg) ![Building Photo - 231 E 53rd St](https://images1.apartments.com/i2/6Cwx-zsJJZ5HRnt5DvnNjvdBicb1rHr1tq0L-eoxcCI/118/231-e-53rd-st-new-york-ny-building-photo.jpg) ![Building Photo - 231 E 53rd St](https://images1.apartments.com/i2/wuKkkkQVt-gbDpYa65zNfor8cqls_lRnvr2rF7Awwrk/118/231-e-53rd-st-new-york-ny-building-photo.jpg) ,"URGENT!!!!
NO FEE!!!!!
******* HURRY UP *******
****** SUTTON PLACE ******
The biggest One Bedroom on Sutton Place.
*** King Size Bedroom ****
*** Separate Kitchen and Living Room ***
*** Fully Renovated ***
*** Live in Super ***
*** Steps from 53rd Subway Station ***
Don't LOSE the deal, Contact:
Tonny
929.328.8918"
[322 W 49th St Unit 3re](https://www.apartments.com/322-w-49th-st-new-york-ny/5vgz9pp/),516-345-4015,"[322 W 49th St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/322+W+49th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)",650 Sq Ft,"$2,500",,,Dogs and Cats Allowed,1.4 mi,29 mins,,,,,,,12 Months,,,,,![Primary Photo - 322 W 49th St](https://images1.apartments.com/i2/EqziTdGR34BCcM0JNFhsNcILEugR2d_JmewoAtnHG7k/110/322-w-49th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 322 W 49th St](https://images1.apartments.com/i2/ycmWeieOj3MM19VKBCJEjRDiFfr2O42tHQG8KwftoMs/118/322-w-49th-st-new-york-ny-building-photo.jpg) ![Building Photo - 322 W 49th St](https://images1.apartments.com/i2/laCtGPZQJUJO3hKI-PI0ZCS3SprVeGWXnYRufmd67nw/118/322-w-49th-st-new-york-ny-building-photo.jpg) ,"amazing price. large 1 bedroom renovated apartment. prime locatoin. a step t a park. subways, restaurants and bars, shopping and grocery."
[241 E 38th St Unit 5B](https://www.apartments.com/241-e-38th-st-new-york-ny/k9ljfnc/),929-358-7687,"[241 E 38th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/241+E+38th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,525",,,Dogs and Cats Allowed,1.2 mi,25 mins,,,,,,,12 Months,,,,,![Primary Photo - 241 E 38th St](https://images1.apartments.com/i2/eUCC162Tng0VPXq-bFMnojRHQhex9NaYqyOJyAtuKxs/110/241-e-38th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 241 E 38th St](https://images1.apartments.com/i2/blBMA665x-P5grI4LYUI8a5j8sI4Onx7tUqKAI7wszQ/118/241-e-38th-st-new-york-ny-building-photo.jpg) ![Building Photo - 241 E 38th St](https://images1.apartments.com/i2/RSRqQ6gkSuYaPval0vUE_Ridu-Flzq_5kpHsJGnEpxk/118/241-e-38th-st-new-york-ny-building-photo.jpg) ![Building Photo - 241 E 38th St](https://images1.apartments.com/i2/m3bmW9zcau63K2GFmKDP7M8GSPbVYu7RJcMexGZZ_28/118/241-e-38th-st-new-york-ny-building-photo.jpg) ,"-White appliances , White kitchen cabinets , Dishwasher
-Ceramic bathroom
-Large windows
-Hardwood floors
-Short walk to Grand Central Subway lines & Lexington Avenue
*No broker fee* Contact Yazmin (347)863-9424"
[66 W 69th St Unit 4F](https://www.apartments.com/66-w-69th-st-new-york-ny/pjclkjv/),,"[66 W 69th St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/66+W+69th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)",750 Sq Ft,"$2,550",,,Dogs and Cats Allowed,1.3 mi,27 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 66 W 69th St](https://images1.apartments.com/i2/qUvAtSykvayGAOWrBch7dCFoZFEdU3aSBb-XSSe7vic/110/66-w-69th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 66 W 69th St](https://images1.apartments.com/i2/G-P1nOC0Unb3PxZZrcFANj9o9RNyzkjNfG55_jvHazU/118/66-w-69th-st-new-york-ny-building-photo.jpg) ![Building Photo - 66 W 69th St](https://images1.apartments.com/i2/CSvYTi89xsE22VVtkdtJZhVHnbALprVBQ9QyuHTbW_s/118/66-w-69th-st-new-york-ny-building-photo.jpg) ,
[71 W 71st St](https://www.apartments.com/71-w-71st-st-new-york-ny/qt801zx/),,"[71 W 71st St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/71+W+71st+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,550",,,Dogs and Cats Allowed,1.4 mi,29 mins,,,,,,,12 Months,,,,,![Primary Photo - 71 W 71st St](https://images1.apartments.com/i2/vyVfEMk043OphHpTSpewocWiJBiFwKi0Zp_4OHn60zM/110/71-w-71st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 71 W 71st St](https://images1.apartments.com/i2/34ubn7zoABO7R8dIe9tDBzXlM9KuzSBxjOXyUA872_U/118/71-w-71st-st-new-york-ny-building-photo.jpg) ![Building Photo - 71 W 71st St](https://images1.apartments.com/i2/3YsSGsIP7GZ_bMXOGCIewTgHreRKOkYd3MbnGcctmhs/118/71-w-71st-st-new-york-ny-building-photo.jpg) ![Building Photo - 71 W 71st St](https://images1.apartments.com/i2/6nOLxis1y0EKqUQn9JTn60w6Fe8t8AvJCy73g9RHEwA/118/71-w-71st-st-new-york-ny-building-photo.jpg) ,"~Beautiful & renovated 1BR~ on the UWS, high ceilings, exposed brick, wooden trim, S/S appliances, and even a chandelier!, walk-in closets, wooden floors throughout. 
*Near park, easy access to public transportation. 
*Call or text me today to schedule a private viewing: Olga 631-605-1477 okrey@bondnewyork.com
If this apartment doesn’t fit your need I certainly have the one that will."
[245 W 51st St](https://www.apartments.com/245-w-51st-st-new-york-ny/j36nwl7/),,"[245 W 51st St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/245+W+51st+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,550",,,Dogs and Cats Allowed,1.2 mi,25 mins,,,,,,,12 Months,,,,,![Primary Photo - 245 W 51st St](https://images1.apartments.com/i2/pyGZlm4zrHrJX1lJpVbwCa6N8Z69Di6_9aFvTdt2wy8/110/245-w-51st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 245 W 51st St](https://images1.apartments.com/i2/R7cz_ZtmjF8h0ls9q1s801YHCpDCIBkkIM_RsUQpLRg/118/245-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 245 W 51st St](https://images1.apartments.com/i2/yDI3uiW9d8bLqRrgTFY68r81hMbgp1EMYS846KnFY2o/118/245-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 245 W 51st St](https://images1.apartments.com/i2/u9f6AN6t4N-xE8lOwly6BoN7MkOmmGQqfBWOobjDiqI/118/245-w-51st-st-new-york-ny-building-photo.jpg) ,"~Big, bright & renovated 1BR~ in the Midtown West, nice kitchen, white tile bath, beautiful floors throughout, lots of light, walk-in closets. **Gas & electric included** Doorman, elevator, laundry. 
*Near park, easy access to public transportation. 
*Call or text me today to schedule a private viewing: Olga 631-605-1477 okrey@bondnewyork.com
If this apartment doesn’t fit your need I certainly have the one that will."
[241 E 38th St Unit 4B](https://www.apartments.com/241-e-38th-st-new-york-ny/nvrdm1m/),929-358-7719,"[241 E 38th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/241+E+38th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,550",,,Dogs and Cats Allowed,1.2 mi,25 mins,,,,,,,12 Months,,,,,![Primary Photo - 241 E 38th St](https://images1.apartments.com/i2/pptYZJ7ZYFBcZeMw2kbrNv-DJbMvVnlVJ1MCLUTHj1g/110/241-e-38th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 241 E 38th St](https://images1.apartments.com/i2/ln8mdAUKEyZXLep2izyZil_nsdmtBcsgDJqsXXPNHXg/118/241-e-38th-st-new-york-ny-building-photo.jpg) ![Building Photo - 241 E 38th St](https://images1.apartments.com/i2/7KNQD8_X_xkjC7ndAPLIRYJDxSMZ9LT-zjv0xvY5_ow/118/241-e-38th-st-new-york-ny-building-photo.jpg) ,"-1 Bedroom apartment in Murray Hill
-White appliances
-White kitchen cabinets 
-Subway tiled bathroom
-Short walk to Grand Central , Lots of public transportation nearby.
-Short walk to Lexington Avenue
** No broker fee** Contact Yazmin (347)863-9424"
[64 W 69th St Unit 3A](https://www.apartments.com/64-w-69th-st-new-york-ny/nqhbd6q/),,"[64 W 69th St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/64+W+69th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)",750 Sq Ft,"$2,595",,,Dogs and Cats Allowed,1.3 mi,27 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 64 W 69th St](https://images1.apartments.com/i2/ftDsEuKbZOL8u1CHAR2aTzyjaQIYtW-_svJdO2v4QJU/110/64-w-69th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 64 W 69th St](https://images1.apartments.com/i2/A-Y9Bj9RFI-Pc5T68hCe5F0rV3Pz00wH1sVVjDYVS3U/118/64-w-69th-st-new-york-ny-building-photo.jpg) ![Building Photo - 64 W 69th St](https://images1.apartments.com/i2/jK8WczM4lKS8N9Mobh1IMOo7C-ijO_2bDXLJv7gHMaI/118/64-w-69th-st-new-york-ny-building-photo.jpg) ![Building Photo - 64 W 69th St](https://images1.apartments.com/i2/qHdmWe1JthnNqgPZASzrzrTvd95Nvxmc8ol2Idc04Mo/118/64-w-69th-st-new-york-ny-building-photo.jpg) ,
[232 E 58th St Unit 15](https://www.apartments.com/232-e-58th-st-new-york-ny/8l7fel0/),,"[232 E 58th St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/232+E+58th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)",625 Sq Ft,"$2,595",,,Dogs and Cats Allowed,0.2 mi,4 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 232 E 58th St](https://images1.apartments.com/i2/-teNHkdOK_-rl5tVPWSJ-9NH6eXU5nndPoEUnMcecN8/110/232-e-58th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 232 E 58th St](https://images1.apartments.com/i2/0OQnOThNEppV4y6SuP8OvRTcikeFGi6BJsWXvItVNp0/118/232-e-58th-st-new-york-ny-building-photo.jpg) ,"Large, bright renovated one bedroom apartment in Midtown East. Features include microwave, dishwasher, ait conditioning, high ceilings, hardwood floors, large closets, and tile bath. Located close to some of the best restaurants, bars, cafes, music venues, coffee shops, art galleries, boutiques, and thrift shops in New York City!!!"
[358 W 51st St Unit BH](https://www.apartments.com/358-w-51st-st-new-york-ny/v3zke8d/),844-553-5104,"[358 W 51st St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/358+W+51st+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)",700 Sq Ft,"$2,595",,,Dogs and Cats Allowed,1.4 mi,28 mins,,,,,* Washer/Dryer,,12 Months,,,,,![Primary Photo - 358 W 51st St](https://images1.apartments.com/i2/xcdjsIqPe10jVX607pAhmABlHW8oxRkQf6v43DkUsXI/110/358-w-51st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 358 W 51st St](https://images1.apartments.com/i2/kXvu6skJOoE0mDBVSSUoRWytTVOeofwhcvRaO3Lx4jE/118/358-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 358 W 51st St](https://images1.apartments.com/i2/SOgWz8-0rNekBl47XD-ucKVSyAn7DWo3bM3wOTfB2X4/118/358-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 358 W 51st St](https://images1.apartments.com/i2/IJtX-4ZfhkBTeyrH-u_Njp_Xs0rFfd_zcRDzQ_kpopw/118/358-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 358 W 51st St](https://images1.apartments.com/i2/9j1C9LeKmX8_TOGdKSzaziTal9WJU0KZnYm6OqWbBRM/118/358-w-51st-st-new-york-ny-building-photo.jpg) ,"Renovated 1 bedroom with open kitchen with stainless steel appliances including a dishwasher and wine cooler. Laundry facilities in the building.
Available for June 1st occupancy!!
Located in great Midtown West location close to great shopping, theater and the center of the city! Conveniently near public transportation, the apartment is just steps from the M50 crosstown bus, and uptown / downtown busses. Short walk to the C & E train.
Call or email me today to schedule a viewing.
elias."
[402 W 51st St Unit 4E](https://www.apartments.com/402-w-51st-st-new-york-ny/w5jv8sl/),,"[402 W 51st St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/402+W+51st+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)",720 Sq Ft,"$2,600",,,Dogs and Cats Allowed,1.4 mi,30 mins,,,,,,,12 Months,,,,,![Primary Photo - 402 W 51st St](https://images1.apartments.com/i2/E5ljqYP7_iTblIJBHeRRXCDs-l4fscfv7349GP-7l38/110/402-w-51st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/glXPGChzPCs8YR99i2vL1XIINWkP38Wixvx_QrXEfqM/118/402-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/Bxc8Xgevb-HcF1WgX09w0dIBt-gssML65cxYhvJSNeU/118/402-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/sRSjIKCLtjwc0G7SiT72aQXOhg7cpg7OdPth_7DSId0/118/402-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/aC_k-9UEpfBOqNkdbsj75g7jS33e6PGOLApzDx7I4Bw/118/402-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/UXnP2KVzEjmZHQMyr3-4iQJK1t5gJQ8ernsE2Zigifs/118/402-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/z507BOsJCGE2F8L4Oo5CDcZkh5zeRfgv2Ci9ZMc6uiQ/118/402-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/kFS0PQKZP07ugTOGT6DsT6SMCa6hJ3-7njQWqPxxbbk/118/402-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/wIvPnOUIRWP0PXP4VP9IVJdJvFmWgwT0ENSrP8UN_LE/118/402-w-51st-st-new-york-ny-building-photo.jpg) ,"This NO FEE King-Sized One Bedroom offers a HUGE Living Room, lots of closet space, a Full Bathroom, and an Eat-In Kitchen.
Located just 1 block from the 50th St C train, surrounded by great restaurants, bars and shops.
A GREAT DEAL for this much SPACE! Over 700 square feet!
NO BROKER FEE!!!
Contact me TODAY to see it!
Pets considered on a case by case basis with an additional security fee."
[342 E 61st St Unit 1B](https://www.apartments.com/342-e-61st-st-new-york-ny/cvedr4e/),,"[342 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/342+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,600",,,Dogs and Cats Allowed,0.4 mi,9 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 342 E 61st St](https://images1.apartments.com/i2/nL6T9BND3JPTepwDzJtgn2u0pf6i-Iuo3IbQUB-2tH4/110/342-e-61st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 342 E 61st St](https://images1.apartments.com/i2/fsEkwLlCmtdiKUBd2ARJ5aC2AXiuMgvWA-QKBApkKQg/118/342-e-61st-st-new-york-ny-building-photo.jpg) ![Building Photo - 342 E 61st St](https://images1.apartments.com/i2/dIwHDecwDBlc2XdIdv0smAsQ9sCDso-Y_p9cdHU-yKc/118/342-e-61st-st-new-york-ny-building-photo.jpg) ,"Newly renovated 1 Bedroom 1 Bathroom apartment features: Wide-plank hardwood floors, recessed lighting, granite counter-tops, stainless steel appliances, cherry wood cabinets, crown and baseboard moldings, with marble bathrooms. Located close to some of the best restaurants, bars, cafes, music venues, coffee shops, art galleries, boutiques and thrift shops in New York City!!!"
[1173 York Ave Unit 11-A](https://www.apartments.com/1173-york-ave-new-york-ny/2h3zldb/),,"[1173 York Ave, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/1173+York+Ave,+New+York,+NY+10065/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,600",,,Dogs and Cats Allowed,0.7 mi,14 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 1173 York Ave](https://images1.apartments.com/i2/oGznuYVowtfayv7ebYKqOZ4LCMW_i0Mo7UOHncMtgA0/110/1173-york-ave-new-york-ny-primary-photo.jpg) ![Building Photo - 1173 York Ave](https://images1.apartments.com/i2/mo23ZAQQjYD4Vx1nTOZ-dYW_vPSZx2Ye3j1GudTwDDw/118/1173-york-ave-new-york-ny-building-photo.jpg) ![Building Photo - 1173 York Ave](https://images1.apartments.com/i2/KzkWc4QoyWzet6Mc5CtqflspzyB8tUViBDrBqqUHB3U/118/1173-york-ave-new-york-ny-building-photo.jpg) ![Building Photo - 1173 York Ave](https://images1.apartments.com/i2/SdSrqNDVNDD90ZP7Sv7eQNwD1ZsfRKaz6Oe-BKbb_MY/118/1173-york-ave-new-york-ny-building-photo.jpg) ,"This sunny, garden facing one bedroom offers an updated kitchen with new appliances and granite counter-tops, ample storage with large closets, marble bathroom, contemporary fixtures and newly finished floors. The 24-hour doorman building boasts a playroom, roof-top sundeck, and fully equipped laundry room. Located close to some of the best restaurants, bars, cafes, music venues, coffee shops, art galleries, boutiques, and thrift shops in New York City!!!"
[402 W 51st St Unit 4](https://www.apartments.com/402-w-51st-st-new-york-ny/e648cfq/),844-320-1809,"[402 W 51st St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/402+W+51st+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)",700 Sq Ft,"$2,600",,,Dogs and Cats Allowed,1.4 mi,30 mins,,,,,,,12 Months,,,,,![Primary Photo - 402 W 51st St](https://images1.apartments.com/i2/9geM4dWseaKxdmGbTAXPKexJECpPPLIDQbiG0sS0dpI/110/402-w-51st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/R4_2i3HBooQxYaboRYA9awh6QFRsIVGjtKutGYJIiRw/118/402-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/gjtOg20YEhDvn5A18XqAGfLAsK2AYRGtUipwexOGbrs/118/402-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/Lir7OjMf07-onPUSAQtzqexnf2oHzuDIWXEhEbwlZuQ/118/402-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/XwbIXlk21iA59aDK3a_5dyUYclLETPlVz9aqRIDiUD4/118/402-w-51st-st-new-york-ny-building-photo.jpg) ,"Enormous one bedroom apartment in in the heart of the Theater District/ Midtown West!Enormous living room w/ multiple windows & great sunlight , Brand new marble bathroom . New hardwood floors ! 3 HUGE closet space for hanging and storage . * Now offering 1 month no broker fee , Amazing apartment AMAZING area. This deal wont last long , Contact Yazmin (347)863-9424"
[49 W 70th St Unit D](https://www.apartments.com/49-w-70th-st-new-york-ny/fl0chct/),,"[49 W 70th St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/49+W+70th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)",725 Sq Ft,"$2,650",,,Dogs and Cats Allowed,1.4 mi,28 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 49 W 70th St](https://images1.apartments.com/i2/7pKCe5GpOHQWg_smAHtY5z6-YOhPSKT7oj5FJFAMupY/110/49-w-70th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 49 W 70th St](https://images1.apartments.com/i2/oGkBJIzEiwcbqjNwXRG2g4x6kNeH41gu_w3HLW53kS0/118/49-w-70th-st-new-york-ny-building-photo.jpg) ![Building Photo - 49 W 70th St](https://images1.apartments.com/i2/6x4T4eQQpXGTyVOklOZ71S21xdnj2CmVrdFuYNtqLtE/118/49-w-70th-st-new-york-ny-building-photo.jpg) ![Building Photo - 49 W 70th St](https://images1.apartments.com/i2/hRaCPaYbyWPcTFH75pPgxJdRYpCnCsHvFvbFidNDx94/118/49-w-70th-st-new-york-ny-building-photo.jpg) ,
