Option Name,URL,Contact,Address,Distance,Duration,Map,Pet Policy,Parking,Gym,Kitchen,Amenities,Features,Living Space,Rent,Monthly Fees,One Time Fees,Lease Info,Services,Property Info,Indoor Info,Outdoor Info
31 Ocean Pkwy Unit 2E,https://www.apartments.com/31-ocean-pkwy-brooklyn-ny/5qcet1m/,862-285-2433,"31 Ocean Pkwy, Brooklyn, NY 11218","* morning: 10.4 mi
* evening: 10.9 mi","* morning: 53 mins
* evening: 51 mins","https://www.google.com/maps/place/31+Ocean+Pkwy,+Brooklyn,+NY+11218",Dogs and Cats Allowed,,,,,,,"$2,150",,,12 Months,* Laundry Facilities,,,
452 E 81st St Unit 3,https://www.apartments.com/452-e-81st-st-new-york-ny/rgd2k02/,,"452 E 81st St, New York, NY 10028","* morning: 1.6 mi
* evening: 2.0 mi","* morning: 18 mins
* evening: 18 mins","https://www.google.com/maps/place/452+E+81st+St,+New+York,+NY+10028",Dogs and Cats Allowed,,,,,,,"$2,150",,,12 Months,* Laundry Facilities,,,
206 E 81st St Unit 2A,https://www.apartments.com/206-e-81st-st-new-york-ny/81n0ye0/,201-453-4463,"206 E 81st St, New York, NY 10028","* morning: 1.3 mi
* evening: 1.3 mi","* morning: 11 mins
* evening: 11 mins","https://www.google.com/maps/place/206+E+81st+St,+New+York,+NY+10028",Dogs and Cats Allowed,,,,,,,"$2,150",,,12 Months,* Laundry Facilities,,,
166 E 19th St,https://www.apartments.com/166-e-19th-st-new-york-ny/dm03mxl/,855-815-0486,"166 E 19th St, New York, NY 10003","* morning: 2.3 mi
* evening: 2.8 mi","* morning: 15 mins
* evening: 15 mins","https://www.google.com/maps/place/166+E+19th+St,+New+York,+NY+10003",Dogs and Cats Allowed,,,,,,,"$2,175",,,12 Months,,,,
47-02 Skillman Ave Unit 1,https://www.apartments.com/47-02-skillman-ave-queens-ny/ecycfkn/,844-310-4894,"47-02 Skillman Ave, Queens, NY 11104","* morning: 3.4 mi
* evening: 3.5 mi","* morning: 22 mins
* evening: 28 mins","https://www.google.com/maps/place/47-02+Skillman+Ave,+Queens,+NY+11104",Dogs and Cats Allowed,,,,,,,"$2,175",,,12 Months,* Laundry Facilities,,,
25-20 30th Rd,https://www.apartments.com/25-20-30th-rd-queens-ny/66myyrv/,610-482-4499,"25-20 30th Rd, Queens, NY 11102","* morning: 3.8 mi
* evening: 3.6 mi","* morning: 23 mins
* evening: 20 mins","https://www.google.com/maps/place/25-20+30th+Rd,+Queens,+NY+11102",Dogs and Cats Allowed,,,,,* Wheelchair Accessible (Rooms),,"$2,175",,,12 Months,* Laundry Facilities,,,
50 Regent at Liberty Harbor,https://www.apartments.com/50-regent-at-liberty-harbor-jersey-city-nj/c7z9z5f/,844-370-3405,"50 Regent St, Jersey City, NJ 07302","* morning: 6.9 mi
* evening: 6.8 mi","* morning: 52 mins
* evening: 46 mins","https://www.google.com/maps/place/50+Regent+St,+Jersey+City,+NJ+07302","Dogs Allowed:
No agressive breed 
* $50 Monthly Pet Rent
* 50 lb Weight Limit
* 2 Pet Limit","Surface Lot: $125
1 space.","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Playground
* Bike Storage
* Walking/Biking Trails
* Gameroom","* Dishwasher
* Ice Maker
* Stainless Steel Appliances
* Pantry
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer",* 24 Hour Concierge/Doorman,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Alarm
* Storage Units
* Tub/Shower
* Handrails
* Intercom
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Tile Floors
* Recreation Room
* Crown Molding
* Vaulted Ceiling
* Bay Window
* Views
* Walk-In Closets
* Linen Closet
* Double Pane Windows","$2,182 - 2,829","* Unassigned Surface Lot Parking: $125
* Unassigned Garage Parking: $200
* Cat Rent: $50
* Dog Rent: $50
* Water, Trash Removal, Sewer: Included",* Application Fee: $80,,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Bilingual
* Concierge
* 24 Hour Availability
* Recycling
* Renters Insurance Program
* Dry Cleaning Service
* Laundry Service
* Pet Play Area
* Pet Washing Station","* Built in 2015
* 163 Units/10 Stories","* Clubhouse
* Lounge
* Multi Use Room
* Storage Space
* Conference Room
* Library
* Two Story Lobby","* Rooftop Lounge
* Courtyard
* Grill
* Picnic Area
* Waterfront
* Boat Docks"
3 Journal Square,https://www.apartments.com/3-journal-square-jersey-city-nj/sllnsp5/,201-275-0870,"2935 John F Kennedy Blvd, Jersey City, NJ 07306","* morning: 8.9 mi
* evening: 9.1 mi","* morning: 1 hour 6 mins
* evening: 58 mins","https://www.google.com/maps/place/2935+John+F+Kennedy+Blvd,+Jersey+City,+NJ+07306","Dogs and Cats Allowed
* $500 Deposit
* $50 Monthly Pet Rent
* 60 lb Weight Limit",,"* Fitness Center
* Playground",* Range,"* Communal Table
* Dog Run
* Fire Pit
* Lounge Area
* Rooftop With Manhattan Skyline Views
* Valet
* Virtual Fitness Classes
* Yoga Studio","* Washer/Dryer
* Air Conditioning
* Heating
* Wheelchair Accessible (Rooms)",,"$2,190 - 2,530","* Cat Rent: $50
* Dog Rent: $50
* Trash Removal: Included","* Application Fee: $125
* Cat Deposit: $500
* Dog Deposit: $500","6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months, 15 months, 16 months, 17 months, 18 months, 19 months, 20 months, 21 months, 22 months, 23 months, 24 months, 25 months, 26 months","* Maintenance on site
* Concierge
* Dry Cleaning Service","* Built in 2017
* 400 Units/13 Stories",,* Barbecue/Grill
722 Amsterdam Ave Unit 2C,https://www.apartments.com/722-amsterdam-ave-new-york-ny/ln1tbbg/,844-478-9586,"722 Amsterdam Ave, New York, NY 10025","* morning: 5.1 mi
* evening: 4.8 mi","* morning: 31 mins
* evening: 30 mins","https://www.google.com/maps/place/722+Amsterdam+Ave,+New+York,+NY+10025",Dogs and Cats Allowed,,,,,,,"$2,190",,,12 Months,,,,
415 E 81st St Unit 2,https://www.apartments.com/415-e-81st-st-new-york-ny/zrwstzy/,,"415 E 81st St, New York, NY 10028","* morning: 1.6 mi
* evening: 2.0 mi","* morning: 17 mins
* evening: 17 mins","https://www.google.com/maps/place/415+E+81st+St,+New+York,+NY+10028",Dogs and Cats Allowed,,,,,,,"$2,195",,,12 Months,* Laundry Facilities,,,
1408 Madison Ave Unit 3A,https://www.apartments.com/1408-madison-ave-new-york-ny/ebkj34p/,,"1408 Madison Ave, New York, NY 10029","* morning: 2.1 mi
* evening: 2.1 mi","* morning: 14 mins
* evening: 14 mins","https://www.google.com/maps/place/1408+Madison+Ave,+New+York,+NY+10029",Dogs and Cats Allowed,,,,,,,"$2,195",,,12 Months,* Laundry Facilities,,,
234 E 83rd St,https://www.apartments.com/234-e-83rd-st-new-york-ny/0kz4es0/,516-253-0997,"234 E 83rd St, New York, NY 10028","* morning: 1.7 mi
* evening: 1.7 mi","* morning: 13 mins
* evening: 12 mins","https://www.google.com/maps/place/234+E+83rd+St,+New+York,+NY+10028",Dogs and Cats Allowed,,,,,,,"$2,195",,,12 Months,,,,
536 E 79th St,https://www.apartments.com/536-e-79th-st-new-york-ny/zqlrpzy/,844-880-6430,"536 E 79th St, New York, NY 10075","* morning: 1.7 mi
* evening: 1.7 mi","* morning: 18 mins
* evening: 19 mins","https://www.google.com/maps/place/536+E+79th+St,+New+York,+NY+10075",Dogs and Cats Allowed,,,,,,,"$2,195",,,12 Months,,,,
8200 Boulevard E,https://www.apartments.com/8200-boulevard-e-north-bergen-nj/e90h4lp/,862-233-2734,"8200 Boulevard E, North Bergen, NJ 07047","* morning: 8.2 mi
* evening: 8.0 mi","* morning: 43 mins
* evening: 48 mins","https://www.google.com/maps/place/8200+Boulevard+E,+North+Bergen,+NJ+07047",Dogs and Cats Allowed,Garage,,,,,,"$2,195",,,12 Months,* Laundry Facilities,,,
1378 York Ave Unit A,https://www.apartments.com/1378-york-ave-new-york-ny/5v3s0yn/,844-847-9070,"1378 York Ave, New York, NY 10021","* morning: 1.6 mi
* evening: 1.2 mi","* morning: 17 mins
* evening: 13 mins","https://www.google.com/maps/place/1378+York+Ave,+New+York,+NY+10021",Dogs and Cats Allowed,,,,,,,"$2,195",,,12 Months,* Laundry Facilities,,,
1378 York Ave,https://www.apartments.com/1378-york-ave-new-york-ny/87s4be0/,844-856-8038,"1378 York Ave, New York, NY 10021","* morning: 1.6 mi
* evening: 1.2 mi","* morning: 17 mins
* evening: 13 mins","https://www.google.com/maps/place/1378+York+Ave,+New+York,+NY+10021",Dogs and Cats Allowed,,,,,,,"$2,195",,,12 Months,,,,
"1378 York Ave Unit 2,195",https://www.apartments.com/1378-york-ave-new-york-ny/wqyccvl/,347-566-5853,"1378 York Ave, New York, NY 10021","* morning: 1.6 mi
* evening: 1.2 mi","* morning: 17 mins
* evening: 13 mins","https://www.google.com/maps/place/1378+York+Ave,+New+York,+NY+10021",Dogs and Cats Allowed,,,,,,,"$2,195",,,12 Months,,,,
415 14th St,https://www.apartments.com/415-14th-st-brooklyn-ny/hrynkg2/,844-840-5096,"415 14th St, Brooklyn, NY 11215","* morning: 9.6 mi
* evening: 9.6 mi","* morning: 44 mins
* evening: 45 mins","https://www.google.com/maps/place/415+14th+St,+Brooklyn,+NY+11215",Dogs and Cats Allowed,,,,,,,"$2,195",,,12 Months,,,,
300 S 3rd St Unit A3,https://www.apartments.com/300-s-3rd-st-brooklyn-ny/wdhcesh/,,"300 S 3rd St, Brooklyn, NY 11211","* morning: 7.0 mi
* evening: 6.7 mi","* morning: 42 mins
* evening: 39 mins","https://www.google.com/maps/place/300+S+3rd+St,+Brooklyn,+NY+11211",Dogs and Cats Allowed,Street,,,,,,"$2,199",,,12 Months,,,,
28-46 41st St,https://www.apartments.com/28-46-41st-st-queens-ny/dfch23k/,347-440-1648,"28-46 41st St, Queens, NY 11103","* morning: 4.1 mi
* evening: 3.9 mi","* morning: 24 mins
* evening: 26 mins","https://www.google.com/maps/place/28-46+41st+St,+Queens,+NY+11103",Dogs and Cats Allowed,,,,,,,"$2,199",,,12 Months,,,,
210 E 90th St Unit 2B,https://www.apartments.com/210-e-90th-st-new-york-ny/relshc1/,347-706-3189,"210 E 90th St, New York, NY 10128","* morning: 1.7 mi
* evening: 1.7 mi","* morning: 13 mins
* evening: 12 mins","https://www.google.com/maps/place/210+E+90th+St,+New+York,+NY+10128",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,* Laundry Facilities,,,
159 W 95th St,https://www.apartments.com/159-w-95th-st-new-york-ny/qqhclxw/,844-340-2653,"159 W 95th St, New York, NY 10025","* morning: 5.1 mi
* evening: 4.8 mi","* morning: 32 mins
* evening: 31 mins","https://www.google.com/maps/place/159+W+95th+St,+New+York,+NY+10025",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,,,,
222 E 89th St,https://www.apartments.com/222-e-89th-st-new-york-ny/q82s5dx/,844-322-1077,"222 E 89th St, New York, NY 10128","* morning: 1.7 mi
* evening: 1.7 mi","* morning: 12 mins
* evening: 11 mins","https://www.google.com/maps/place/222+E+89th+St,+New+York,+NY+10128",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,,,,
330 14th St Unit 4L,https://www.apartments.com/330-14th-st-brooklyn-ny/ptqvqzr/,844-874-7662,"330 14th St, Brooklyn, NY 11215","* morning: 9.6 mi
* evening: 9.6 mi","* morning: 46 mins
* evening: 48 mins","https://www.google.com/maps/place/330+14th+St,+Brooklyn,+NY+11215",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,,,,
31 Ocean Pkwy Unit 2J,https://www.apartments.com/31-ocean-pkwy-brooklyn-ny/de0pmxh/,201-297-5156,"31 Ocean Pkwy, Brooklyn, NY 11218","* morning: 10.4 mi
* evening: 10.9 mi","* morning: 53 mins
* evening: 51 mins","https://www.google.com/maps/place/31+Ocean+Pkwy,+Brooklyn,+NY+11218",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,,,,
69-15 Ditmars Blvd Unit 3,https://www.apartments.com/69-15-ditmars-blvd-queens-ny/bt0tp08/,347-378-7223,"69-15 Ditmars Blvd, Queens, NY 11370","* morning: 5.2 mi
* evening: 5.1 mi","* morning: 40 mins
* evening: 38 mins","https://www.google.com/maps/place/69-15+Ditmars+Blvd,+Queens,+NY+11370",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,,,,
415 E 78th St Unit 1A,https://www.apartments.com/415-e-78th-st-new-york-ny/2k42z29/,201-351-0380,"415 E 78th St, New York, NY 10075","* morning: 1.4 mi
* evening: 1.4 mi","* morning: 14 mins
* evening: 14 mins","https://www.google.com/maps/place/415+E+78th+St,+New+York,+NY+10075",Dogs and Cats Allowed,,,,,* Washer/Dryer,,"$2,200",,,12 Months,,,,
291 7th Ave Unit 3,https://www.apartments.com/291-7th-ave-brooklyn-ny/ewlfjjp/,844-289-4540,"291 7th Ave, Brooklyn, NY 11215","* morning: 9.3 mi
* evening: 9.3 mi","* morning: 40 mins
* evening: 42 mins","https://www.google.com/maps/place/291+7th+Ave,+Brooklyn,+NY+11215",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,,,,
295 7th Ave Unit 1,https://www.apartments.com/295-7th-ave-brooklyn-ny/nmt5ggm/,844-786-8842,"295 7th Ave, Brooklyn, NY 11215","* morning: 9.3 mi
* evening: 9.3 mi","* morning: 40 mins
* evening: 42 mins","https://www.google.com/maps/place/295+7th+Ave,+Brooklyn,+NY+11215",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,,,,
809 Park Ave Unit 4L (7,https://www.apartments.com/809-park-ave-hoboken-nj/pcj8h1v/,844-715-1500,"809 Park Ave, Hoboken, NJ 07030","* morning: 6.5 mi
* evening: 5.8 mi","* morning: 53 mins
* evening: 54 mins","https://www.google.com/maps/place/809+Park+Ave,+Hoboken,+NJ+07030",Dogs and Cats Allowed,,,,,* Washer/Dryer,,"$2,200",,,12 Months,,,,
1116 Manhattan Ave,https://www.apartments.com/1116-manhattan-ave-brooklyn-ny/0llgxq2/,844-703-4351,"1116 Manhattan Ave, Brooklyn, NY 11222","* morning: 3.7 mi
* evening: 2.8 mi","* morning: 35 mins
* evening: 35 mins","https://www.google.com/maps/place/1116+Manhattan+Ave,+Brooklyn,+NY+11222",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,,,,
568 Pacific St,https://www.apartments.com/568-pacific-st-brooklyn-ny/yq2ep9r/,844-349-7808,"568 Pacific St, Brooklyn, NY 11217","* morning: 7.8 mi
* evening: 7.8 mi","* morning: 33 mins
* evening: 29 mins","https://www.google.com/maps/place/568+Pacific+St,+Brooklyn,+NY+11217",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,* Laundry Facilities,,,
95 4th Ave,https://www.apartments.com/95-4th-ave-brooklyn-ny/xr19xyq/,347-657-7529,"95 4th Ave, Brooklyn, NY 11217","* morning: 8.0 mi
* evening: 7.7 mi","* morning: 36 mins
* evening: 32 mins","https://www.google.com/maps/place/95+4th+Ave,+Brooklyn,+NY+11217",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,,,,
30-32 31st St Unit 4A,https://www.apartments.com/30-32-31st-st-queens-ny/5w7phyq/,646-809-1750,"30-32 31st St, Queens, NY 11102","* morning: 3.6 mi
* evening: 3.5 mi","* morning: 19 mins
* evening: 17 mins","https://www.google.com/maps/place/30-32+31st+St,+Queens,+NY+11102",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,,,,
291 7th Ave,https://www.apartments.com/291-7th-ave-brooklyn-ny/fdlkzvt/,844-833-9396,"291 7th Ave, Brooklyn, NY 11215","* morning: 9.3 mi
* evening: 9.3 mi","* morning: 40 mins
* evening: 42 mins","https://www.google.com/maps/place/291+7th+Ave,+Brooklyn,+NY+11215",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,,,,
286 5th Ave,https://www.apartments.com/286-5th-ave-brooklyn-ny/jvgq0x6/,844-851-0208,"286 5th Ave, Brooklyn, NY 11215","* morning: 8.5 mi
* evening: 8.6 mi","* morning: 44 mins
* evening: 44 mins","https://www.google.com/maps/place/286+5th+Ave,+Brooklyn,+NY+11215",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,* Laundry Facilities,,,
529 Bergen St Unit 3D,https://www.apartments.com/529-bergen-st-brooklyn-ny/vk9ct4f/,844-245-1139,"529 Bergen St, Brooklyn, NY 11217","* morning: 7.9 mi
* evening: 8.1 mi","* morning: 33 mins
* evening: 35 mins","https://www.google.com/maps/place/529+Bergen+St,+Brooklyn,+NY+11217",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,* Laundry Facilities,,,
292 7th Ave Unit 3F,https://www.apartments.com/292-7th-ave-brooklyn-ny/jzse2j5/,844-556-3824,"292 7th Ave, Brooklyn, NY 11215","* morning: 9.3 mi
* evening: 9.3 mi","* morning: 41 mins
* evening: 42 mins","https://www.google.com/maps/place/292+7th+Ave,+Brooklyn,+NY+11215",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,,,,
291 7th Ave,https://www.apartments.com/291-7th-ave-brooklyn-ny/l60hqlf/,844-479-8590,"291 7th Ave, Brooklyn, NY 11215","* morning: 9.3 mi
* evening: 9.3 mi","* morning: 40 mins
* evening: 42 mins","https://www.google.com/maps/place/291+7th+Ave,+Brooklyn,+NY+11215",Dogs and Cats Allowed,,,,,,,"$2,200",,,12 Months,,,,
The Landings at Port Imperial,https://www.apartments.com/the-landings-at-port-imperial-west-new-york-nj/pdfz1jr/,973-928-7216,"Four Avenue at Port, West New York, NJ 07093","* morning: 7.2 mi
* evening: 6.1 mi","* morning: 48 mins
* evening: 46 mins","https://www.google.com/maps/place/Four+Avenue+at+Port,+West+New+York,+NJ+07093","Dogs and Cats Allowed:
0 
* $80 Monthly Pet Rent
* $300 Fee
* 3 Pet Limit",Covered,"* Fitness Center
* Pool","* Dishwasher
* Kitchen
* Microwave",* Smoke Free Living,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Alarm
* Fireplace
* Sprinkler System","* Views
* Walk-In Closets","$2,220 - 2,730","* Cat Rent: $50
* Dog Rent: $80","* Cat Fee: $300
* Dog Fee: $300",Flexible terms,"* Package Service
* Controlled Access
* Property Manager on Site
* Renters Insurance Program
* Dry Cleaning Service","* Built in 1999
* 276 Units/3 Stories",* Business Center,* Gated
8200 Boulevard E,https://www.apartments.com/8200-boulevard-e-north-bergen-nj/y1ekfyv/,,"8200 Boulevard E, North Bergen, NJ 07047","* morning: 8.2 mi
* evening: 8.0 mi","* morning: 43 mins
* evening: 48 mins","https://www.google.com/maps/place/8200+Boulevard+E,+North+Bergen,+NJ+07047",Dogs and Cats Allowed,,,,,,,"$2,225",,,,,,,
514 E 88th St,https://www.apartments.com/514-e-88th-st-new-york-ny/s3vf0l5/,516-350-5115,"514 E 88th St, New York, NY 10128","* morning: 2.1 mi
* evening: 2.0 mi","* morning: 19 mins
* evening: 17 mins","https://www.google.com/maps/place/514+E+88th+St,+New+York,+NY+10128",Dogs and Cats Allowed,,,,,,,"$2,249",,,12 Months,,,,
182 Prospect Park West Unit 15,https://www.apartments.com/182-prospect-park-west-brooklyn-ny/bxb3yvc/,305-250-2089,"182 Prospect Park West, Brooklyn, NY 11215","* morning: 9.9 mi
* evening: 9.9 mi","* morning: 41 mins
* evening: 43 mins","https://www.google.com/maps/place/182+Prospect+Park+West,+Brooklyn,+NY+11215",Dogs and Cats Allowed,,,,,,,"$2,249",,,12 Months,,,,
29-28 41st Ave,https://www.apartments.com/29-28-41st-ave-long-island-city-ny/d6th1hk/,844-214-0732,"29-28 41st Ave, Long Island City, NY 11101","* morning: 2.1 mi
* evening: 2.2 mi","* morning: 14 mins
* evening: 14 mins","https://www.google.com/maps/place/29-28+41st+Ave,+Long+Island+City,+NY+11101","Dogs, Cats, Birds, Fish and Reptiles Allowed",,"* Fitness Center
* Health Club Facility
* Free Weights
* Weight Machines
* Bike Storage
* Gameroom
* Gaming Stations
* Media Center/Movie Theatre","* Granite Countertops
* Stainless Steel Appliances
* Oven
* Refrigerator
* Freezer",,"* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Washer/Dryer Hookup
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower
* Sprinkler System
* Wheelchair Accessible (Rooms)",* Loft Layout,"$2,250 - 2,900","* Water, Trash Removal, Sewer: Included",,,"* Package Service
* Community-Wide WiFi
* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Security System
* Doorman
* Bilingual
* Concierge
* Video Patrol
* 24 Hour Availability
* Furnished Units Available
* On-Site ATM
* Recycling
* Online Services","* Built in 1927
* Renovated in May 2002
* 104 Units/12 Stories
* Furnished","* Elevator
* Business Center
* Lounge
* Multi Use Room
* Storage Space
* Coffee Bar
* Conference Room
* Library
* Two Story Lobby",* Rooftop Lounge
232 E 80th St Unit 17,https://www.apartments.com/232-e-80th-st-new-york-ny/c6nkf6g/,,"232 E 80th St, New York, NY 10075","* morning: 1.3 mi
* evening: 1.3 mi","* morning: 11 mins
* evening: 11 mins","https://www.google.com/maps/place/232+E+80th+St,+New+York,+NY+10075",Dogs and Cats Allowed,,,,,,,"$2,250",,,12 Months,* Laundry Facilities,,,
232 E 80th St Unit 22,https://www.apartments.com/232-e-80th-st-new-york-ny/k99j12c/,,"232 E 80th St, New York, NY 10075","* morning: 1.3 mi
* evening: 1.3 mi","* morning: 11 mins
* evening: 11 mins","https://www.google.com/maps/place/232+E+80th+St,+New+York,+NY+10075",Dogs and Cats Allowed,,,,,,,"$2,250",,,12 Months,* Laundry Facilities,,,
219 E 94th St Unit 5,https://www.apartments.com/219-e-94th-st-new-york-ny/9b2rt94/,,"219 E 94th St, New York, NY 10128","* morning: 2.1 mi
* evening: 2.1 mi","* morning: 13 mins
* evening: 14 mins","https://www.google.com/maps/place/219+E+94th+St,+New+York,+NY+10128",Dogs and Cats Allowed,,,,,,,"$2,250",,,12 Months,* Laundry Facilities,,,
230 E 78th St Unit 1,https://www.apartments.com/230-e-78th-st-new-york-ny/zk0fb7w/,,"230 E 78th St, New York, NY 10075","* morning: 1.1 mi
* evening: 1.1 mi","* morning: 8 mins
* evening: 8 mins","https://www.google.com/maps/place/230+E+78th+St,+New+York,+NY+10075",Dogs and Cats Allowed,,,,,,,"$2,250",,,12 Months,* Laundry Facilities,,,
232 E 83rd St Unit 5,https://www.apartments.com/232-e-83rd-st-new-york-ny/skfq4r6/,,"232 E 83rd St, New York, NY 10028","* morning: 1.7 mi
* evening: 1.7 mi","* morning: 12 mins
* evening: 12 mins","https://www.google.com/maps/place/232+E+83rd+St,+New+York,+NY+10028",Dogs and Cats Allowed,,,,,,,"$2,250",,,12 Months,* Laundry Facilities,,,
322 E 61st St Unit 2RW,https://www.apartments.com/322-e-61st-st-new-york-ny/24kfd3c/,,"322 E 61st St, New York, NY 10065","* morning: 0.4 mi
* evening: 0.4 mi","* morning: 8 mins
* evening: 8 mins","https://www.google.com/maps/place/322+E+61st+St,+New+York,+NY+10065",Dogs and Cats Allowed,,,,,,,"$2,250",,,12 Months,* Laundry Facilities,,,
516 E 80th St,https://www.apartments.com/516-e-80th-st-new-york-ny/2fskrpb/,516-268-2326,"516 E 80th St, New York, NY 10075","* morning: 1.6 mi
* evening: 1.6 mi","* morning: 18 mins
* evening: 19 mins","https://www.google.com/maps/place/516+E+80th+St,+New+York,+NY+10075",Dogs and Cats Allowed,,,,,,,"$2,250",,,12 Months,,,,
412 E 89th St Unit 2A,https://www.apartments.com/412-e-89th-st-new-york-ny/nxc69fn/,,"412 E 89th St, New York, NY 10128","* morning: 2.0 mi
* evening: 1.9 mi","* morning: 17 mins
* evening: 15 mins","https://www.google.com/maps/place/412+E+89th+St,+New+York,+NY+10128",Dogs and Cats Allowed,,,,,,,"$2,250",,,12 Months,* Laundry Facilities,,,
205 Washington St,https://www.apartments.com/205-washington-st-jersey-city-nj/x663ncm/,,"205 Washington St, Jersey City, NJ 07302","* morning: 6.3 mi
* evening: 6.3 mi","* morning: 47 mins
* evening: 40 mins","https://www.google.com/maps/place/205+Washington+St,+Jersey+City,+NJ+07302",Dogs and Cats Allowed,Street,,,,"* Washer/Dryer
* Smoke Free",* Furnished,"$2,250",,,12 Months,,* Furnished,,
510 E 79th St,https://www.apartments.com/510-e-79th-st-new-york-ny/x66pkbp/,929-200-4606,"510 E 79th St, New York, NY 10075","* morning: 1.7 mi
* evening: 1.7 mi","* morning: 18 mins
* evening: 19 mins","https://www.google.com/maps/place/510+E+79th+St,+New+York,+NY+10075",Dogs and Cats Allowed,,,,,,,"$2,250",,,12 Months,,,,
31 Ocean Pkwy,https://www.apartments.com/31-ocean-pkwy-brooklyn-ny/cpvcvkd/,844-876-5229,"31 Ocean Pkwy, Brooklyn, NY 11218","* morning: 10.4 mi
* evening: 10.9 mi","* morning: 53 mins
* evening: 51 mins","https://www.google.com/maps/place/31+Ocean+Pkwy,+Brooklyn,+NY+11218",Dogs and Cats Allowed,Street,,,,,,"$2,250",,,12 Months,,,,
558 Pacific St Unit 1E,https://www.apartments.com/558-pacific-st-brooklyn-ny/werb34l/,,"558 Pacific St, Brooklyn, NY 11217","* morning: 7.8 mi
* evening: 7.8 mi","* morning: 32 mins
* evening: 29 mins","https://www.google.com/maps/place/558+Pacific+St,+Brooklyn,+NY+11217",Dogs and Cats Allowed,,,,,,,"$2,250",,,12 Months,,,,
138 W 81st St Unit # 3A,https://www.apartments.com/138-w-81st-st-new-york-ny/87c8zx0/,844-785-2443,"138 W 81st St, New York, NY 10024","* morning: 4.3 mi
* evening: 3.1 mi","* morning: 34 mins
* evening: 28 mins","https://www.google.com/maps/place/138+W+81st+St,+New+York,+NY+10024",Dogs and Cats Allowed,,,,,,,"$2,250",,,12 Months,,,,
568 Pacific St Unit 1,https://www.apartments.com/568-pacific-st-brooklyn-ny/thgnh2c/,844-787-7779,"568 Pacific St, Brooklyn, NY 11217","* morning: 7.8 mi
* evening: 7.8 mi","* morning: 33 mins
* evening: 29 mins","https://www.google.com/maps/place/568+Pacific+St,+Brooklyn,+NY+11217",Dogs and Cats Allowed,,,,,,,"$2,250",,,12 Months,* Laundry Facilities,,,
214 W 96th St Unit 2D,https://www.apartments.com/214-w-96th-st-new-york-ny/r70c742/,347-923-7412,"214 W 96th St, New York, NY 10025","* morning: 5.0 mi
* evening: 4.7 mi","* morning: 29 mins
* evening: 29 mins","https://www.google.com/maps/place/214+W+96th+St,+New+York,+NY+10025",Dogs and Cats Allowed,,,,,,,"$2,250",,,12 Months,,,,
35 Kingsland Ave,https://www.apartments.com/35-kingsland-ave-brooklyn-ny/lkcccyg/,813-867-5811,"35 Kingsland Ave, Brooklyn, NY 11211","* morning: 5.8 mi
* evening: 5.7 mi","* morning: 42 mins
* evening: 34 mins","https://www.google.com/maps/place/35+Kingsland+Ave,+Brooklyn,+NY+11211",Dogs and Cats Allowed,Street,,,,,,"$2,250",,,12 Months,* Laundry Facilities,,,
2710 30th Ave,https://www.apartments.com/2710-30th-ave-astoria-ny/31xjwhd/,,"2710 30th Ave, Astoria, NY 11102","* morning: 3.7 mi
* evening: 3.6 mi","* morning: 21 mins
* evening: 19 mins","https://www.google.com/maps/place/2710+30th+Ave,+Astoria,+NY+11102",Dogs and Cats Allowed,,,,,,,"$2,250",,,,,,,
